phone,0.211803,0.017372,7.00252e-06,5.14046e-07,-9.71269e-13,-6.69857e-08,-8.83767e-14,668,406,66.75,0.635802,-0.231811
phone,0.21368,0.0181762,5.77736e-06,4.46543e-07,-5.4127e-13,-4.83867e-08,4.70583e-13,704,327,95.1262,0.480456,-0.0136333
phone,0.214125,0.0183659,2.14665e-06,1.96404e-07,7.59379e-15,-1.6767e-09,1.27302e-13,703,259,84.4258,0.528846,0.0789261
pen,1.17551,1.35075,0.0429897,0.0397224,0.00164147,0.0461409,6.40995e-06,679,425,31.7559,0.206774,0.156576
pen,1.15498,1.30219,0.0583124,0.0538327,0.0030161,0.0613762,1.3187e-05,706,337,21.0514,2.95506,1.28098
pen,1.15795,1.30953,0.0492325,0.045561,0.00215781,0.0521218,-7.25824e-06,698,477,15.3904,0.509728,-0.470254
hammer,0.816386,0.572626,0.108652,0.0607963,0.00494107,0.0460037,3.97113e-05,541,305,39.7163,0.303187,0.00369118
hammer,0.819072,0.582988,0.0866231,0.0474331,0.00304045,0.036212,-5.72807e-06,578,366,21.3047,0.609306,0.434083
hammer,0.821744,0.587837,0.0922624,0.0519319,0.00359427,0.0398012,5.66638e-05,610,283,25.2725,0.486239,0.304023
glasses,2.2697,3.72876,3.89188,1.87053,4.61562,2.85263,2.04141,792,390,7.28563,0.341463,0.231689
glasses,0.380356,0.0977473,3.71797e-07,9.39072e-07,4.92115e-13,-2.7402e-07,2.56356e-13,585,475,60.624,0.366873,0.0410409,
glasses,1.15043,1.04368,0.585812,0.49748,0.266543,0.472011,0.0328611,725,378,16.9159,0.43964,0.170386
mouse,0.198379,0.0133914,2.7506e-05,2.18664e-06,-9.0621e-13,-1.964e-08,1.6934e-11,689,348,84.1053,0.522593,-0.0496833
mouse,0.196157,0.0125173,3.24356e-05,2.78402e-06,1.23063e-11,1.32052e-07,2.34193e-11,708,360,69.3595,1.46988,1.26315
mouse,0.19768,0.0130876,2.35554e-05,1.94096e-06,2.59936e-12,4.11923e-08,1.28641e-11,677,312,59.4956,1.01786,0.807635
